emp_no,first_name,last_name,title,dept_no,birth_date
71911,Xiaoqiu,Junot,Engineer,d004,1952-04-28
71917,Munehiko,Arlazarov,Staff,d003,1952-03-14
71921,Arnould,Cherinka,Engineer,d005,1952-11-05
71923,Jayesh,Kavanagh,Technique Leader,d005,1952-06-21
71926,Toshiko,Streit,Senior Engineer,d004,1952-03-25
71929,Sumant,Gire,Senior Staff,d007,1952-10-27
71930,Lech,Etalle,Senior Staff,d007,1952-10-20
71959,Jianhua,Speer,Staff,d001,1952-07-28
71960,Teunis,Karnin,Senior Staff,d007,1952-03-04
71963,Yuqun,Grandbois,Engineer,d005,1952-10-03
71990,Supot,Thiran,Senior Staff,d009,1952-11-29
72006,Shaleah,Atrawala,Engineer,d004,1952-11-04
72015,Reuven,Trystram,Staff,d001,1952-05-11
72026,Wilmer,Pesch,Engineer,d005,1952-08-09
72040,Geoff,Kuzuoka,Engineer,d005,1952-02-03
72050,Zeydy,Marrakchi,Staff,d002,1952-10-24
72071,Bilhanan,Rullman,Senior Staff,d003,1952-11-12
72077,Reuven,Juneja,Senior Staff,d009,1952-03-10
72083,Christoper,Cincotta,Staff,d009,1952-03-15
72097,Almudena,Perng,Senior Staff,d009,1952-06-10
72109,Xiaopeng,Nitsche,Staff,d008,1952-12-01
72121,Chuanyi,Begiun,Engineer,d004,1952-08-29
72132,Snehasis,Openshaw,Senior Staff,d002,1952-04-17
72145,Zdislav,Neimat,Senior Engineer,d004,1952-02-26
72173,Mikhail,Schaap,Engineer,d004,1952-05-21
72184,Masamitsu,Angelov,Senior Engineer,d004,1952-08-10
72195,Iara,Schwartzbauer,Senior Engineer,d005,1952-12-19
72199,Zhilian,Prenel,Senior Staff,d003,1952-12-07
72219,Eckart,Hutton,Engineer,d004,1952-07-13
72227,Gladys,Speel,Senior Staff,d001,1952-03-31
72235,Hilari,Baez,Staff,d007,1952-07-14
72250,Zhilian,Hagimont,Engineer,d004,1952-08-10
72264,Alain,Bale,Engineer,d005,1952-11-23
72269,Steen,Gonthier,Senior Staff,d008,1952-10-18
72280,Tadahiro,Papsdorf,Senior Staff,d001,1952-07-25
72281,Sariel,Uhrik,Engineer,d006,1952-09-14
72307,Genta,Asser,Engineer,d005,1952-11-11
72310,Cordelia,Dusink,Engineer,d004,1952-08-17
72331,Shaz,Shimshoni,Senior Staff,d002,1952-05-26
72352,Fayez,Kusakari,Senior Engineer,d004,1952-07-26
72353,Kshitij,Cesareni,Senior Staff,d009,1952-09-03
72368,Alair,Baaleh,Engineer,d004,1952-06-22
72371,Tetsurou,Demke,Staff,d001,1952-03-10
72388,Trygve,Ratnakar,Engineer,d004,1952-04-16
72389,Xuejun,Piancastelli,Engineer,d004,1952-10-18
72397,Shigeu,Einsfeld,Engineer,d004,1952-10-20
72434,Snehasis,Lueh,Assistant Engineer,d005,1952-07-03
72451,Xiong,Stamatiou,Senior Engineer,d004,1952-02-06
72472,Tuval,Demke,Senior Staff,d002,1952-10-20
72497,Kwangjo,McAlpine,Engineer,d004,1952-10-16
72513,Juichirou,Talmon,Engineer,d004,1952-03-02
72547,Narain,Schrift,Staff,d009,1952-10-09
72566,Munehiro,Schaaf,Engineer,d004,1952-04-23
72569,Katsuyuki,Halevi,Engineer,d004,1952-04-28
72576,Brigham,Lichtner,Engineer,d004,1952-10-07
72578,Kshitij,Bashian,Assistant Engineer,d005,1952-10-02
72584,Jeanna,Schiettecatte,Engineer,d004,1952-12-12
72585,Ioana,Bala,Engineer,d004,1952-06-08
72589,Yannis,Barriga,Engineer,d004,1952-03-03
72592,Shaleah,Brandsma,Senior Engineer,d005,1952-06-14
72609,Baziley,Guting,Staff,d007,1952-11-21
72611,Yonghong,Fordan,Assistant Engineer,d004,1952-06-02
72619,Bedrich,Velasco,Senior Staff,d002,1952-10-21
72639,Jiang,Angel,Senior Staff,d008,1952-08-11
72646,Elgin,Tchuente,Assistant Engineer,d005,1952-08-26
72657,Lucien,Gyimothy,Staff,d001,1952-06-24
72663,Yannik,Gerteisen,Engineer,d004,1952-07-22
72693,Zhaofang,Gadepally,Staff,d007,1952-07-21
72695,Marin,Swiler,Engineer,d006,1952-06-17
72709,Mohammad,Perez,Senior Engineer,d005,1952-03-21
72737,Kellie,Kroll,Staff,d002,1952-07-20
72766,Emran,Valiente,Engineer,d005,1952-06-06
72797,Dmitry,Luders,Senior Staff,d002,1952-02-17
72815,Marc,Setiz,Staff,d007,1952-04-29
72847,Renny,Stifter,Senior Staff,d007,1952-11-14
72869,Shay,Basagni,Senior Staff,d008,1952-06-04
72897,Faiza,Leslie,Engineer,d005,1952-10-18
72922,Kristian,DasSarma,Senior Staff,d007,1952-12-10
72927,Bangqing,Rahier,Staff,d002,1952-06-30
72939,Mircea,Dusink,Senior Staff,d008,1952-08-28
72969,Xinan,Setia,Staff,d007,1952-04-04
72985,Heping,Bellone,Staff,d003,1952-09-29
72995,Rosli,Ozeri,Senior Staff,d001,1952-04-27
72998,Mart,Farrow,Senior Staff,d004,1952-10-11
73004,Mitchel,Ballarin,Senior Engineer,d006,1952-05-15
73016,Qiwen,Waeselynck,Senior Staff,d003,1952-12-20
73036,Syozo,Koyama,Senior Staff,d007,1952-02-27
73042,Elvis,Rossi,Technique Leader,d004,1952-03-26
73060,Oldrich,Ranka,Engineer,d004,1952-11-15
73084,Subhash,Skogmar,Engineer,d004,1952-12-09
73096,Siamak,Birnbaum,Engineer,d005,1952-08-22
73104,Mooi,Bressoud,Engineer,d004,1952-09-21
73109,Divine,Pusterhofer,Engineer,d005,1952-08-18
73121,DAIDA,Pleszkun,Technique Leader,d004,1952-12-19
73124,Dannz,Siegrist,Senior Engineer,d005,1952-06-30
73168,Magdalena,Pagter,Engineer,d005,1952-12-28
73222,Kendra,Gurbaxani,Assistant Engineer,d004,1952-08-11
73228,Tommaso,Vasanthakumar,Assistant Engineer,d006,1952-10-15
73237,Sanjoy,Bonifati,Senior Staff,d007,1952-05-01
73274,Dinkar,Chaudhuri,Senior Staff,d002,1952-05-28
73305,Heon,Lambe,Engineer,d005,1952-10-03
73314,Oguz,Weiland,Senior Staff,d007,1952-08-07
73318,Elliott,Highland,Assistant Engineer,d005,1952-11-22
73322,Atreye,Tomescu,Senior Staff,d007,1952-12-11
73339,Leni,Kamble,Senior Engineer,d005,1952-04-11
73391,Eben,Bierman,Senior Staff,d007,1952-03-11
73406,Basil,Tomescu,Engineer,d006,1952-12-28
73435,Younwoo,Reistad,Engineer,d005,1952-10-05
73436,Keiichiro,Shiratori,Engineer,d004,1952-02-11
73466,Tzu,Guerreiro,Engineer,d006,1952-07-20
73482,Jovan,Auyong,Engineer,d004,1952-08-16
73490,Ramalingam,Rodite,Senior Engineer,d005,1952-11-18
73512,Shan,Slobodova,Engineer,d005,1952-11-26
73522,Dannz,Shinomoto,Senior Staff,d008,1952-11-16
73530,Lokesh,Budinsky,Staff,d007,1952-11-14
73542,Shigehito,Acton,Senior Staff,d007,1952-06-22
73544,Kazuhiro,Piancastelli,Engineer,d005,1952-07-27
73560,Nigel,Hasenauer,Engineer,d006,1952-11-01
73569,Changho,Bisiani,Staff,d008,1952-09-22
73572,Yuuichi,Schapire,Technique Leader,d004,1952-07-15
73594,Kazuhira,Babb,Staff,d007,1952-06-09
73600,Aris,Kolvik,Senior Engineer,d005,1952-07-28
73662,Seongbae,Vidya,Engineer,d005,1952-05-24
73666,Renny,Riefers,Staff,d009,1952-12-03
73682,Heng,Douceur,Senior Staff,d007,1952-08-31
73685,Yurii,Fujisaki,Senior Staff,d007,1952-05-01
73687,Zito,Bakhtari,Senior Staff,d007,1952-04-30
73694,Jaques,Ranta,Senior Staff,d001,1952-07-09
73698,Arunas,Bazzichi,Engineer,d005,1952-06-21
73709,Gad,Vural,Senior Staff,d007,1952-09-04
73731,Gaurav,Lichtner,Engineer,d005,1952-10-15
73734,Zhongwei,Rodite,Senior Staff,d002,1952-08-26
73735,Gay,Eldridge,Engineer,d004,1952-07-31
73756,Moni,Strooper,Engineer,d005,1952-12-23
73758,Serenella,Sevcikova,Engineer,d005,1952-02-15
73762,Leaf,Tchuente,Engineer,d006,1952-05-08
73785,Conrado,Tischendorf,Engineer,d004,1952-04-06
73808,Urs,Skafidas,Engineer,d004,1952-06-18
73811,Valeri,Trogemann,Senior Engineer,d005,1952-08-16
73812,Shugo,Koblitz,Senior Staff,d002,1952-04-19
73823,Shaibal,Michaels,Senior Staff,d007,1952-08-10
73835,Leif,Krupka,Engineer,d005,1952-04-05
73846,Masamitsu,Hoppenstand,Senior Staff,d007,1952-11-24
73851,Alair,Spinelli,Assistant Engineer,d004,1952-05-11
73868,Moon,Goodrum,Engineer,d004,1952-07-29
73874,Lene,Heiserman,Assistant Engineer,d005,1952-08-22
73885,Gianluca,Farrow,Engineer,d004,1952-03-29
73891,Rasikan,Rebaine,Senior Staff,d007,1952-11-21
73909,Morrie,Denna,Engineer,d006,1952-05-12
73911,Ziya,Syrotiuk,Senior Staff,d003,1952-03-12
73914,Atreyi,Smailagic,Engineer,d005,1952-03-09
73921,Maja,Rijsenbrij,Engineer,d005,1952-05-12
73923,Basim,Pargaonkar,Senior Engineer,d005,1952-08-15
73952,Georgy,Matzov,Engineer,d004,1952-04-20
73959,TRUE,Denny,Senior Staff,d009,1952-02-02
73969,Yongdong,Prampolini,Engineer,d004,1952-05-01
73977,Luisa,Radwan,Senior Engineer,d004,1952-08-21
73980,Martijn,Burnard,Assistant Engineer,d004,1952-04-18
73996,Sachar,Yamaashi,Engineer,d006,1952-03-06
73999,Susanna,Krzyzanowski,Senior Staff,d007,1952-09-03
74013,Terresa,Zongker,Senior Staff,d007,1952-05-24
74036,Mayumi,Chenoweth,Technique Leader,d004,1952-09-24
74038,Zorica,Muntz,Engineer,d005,1952-05-04
74056,Fumitake,Ishibashi,Engineer,d004,1952-04-16
74060,Volkmar,Beilner,Senior Engineer,d005,1952-08-25
74067,Francoise,Siprelle,Staff,d007,1952-10-28
74070,Marco,Glowinski,Senior Engineer,d005,1952-12-19
74075,Djenana,Pashtan,Senior Engineer,d005,1952-09-03
74102,Chaosheng,Falco,Senior Engineer,d005,1952-04-28
74112,Avishai,Perko,Engineer,d005,1952-12-09
74142,Shigehito,Bierbaum,Senior Staff,d002,1952-08-02
74143,Achilleas,Zeleznik,Senior Staff,d003,1952-09-08
74144,Hyuncheol,Redmiles,Senior Staff,d002,1952-11-29
74154,Oscar,Foong,Staff,d007,1952-02-20
74156,Bodo,Lovengreen,Senior Staff,d003,1952-03-09
74166,Shawna,Beidas,Senior Staff,d007,1952-12-25
74168,Jungsoon,Weedon,Senior Staff,d004,1952-03-14
74171,Patricio,Kleiser,Engineer,d005,1952-08-06
74177,Charmane,Azumi,Senior Staff,d009,1952-11-30
74183,Zissis,Suomi,Senior Staff,d009,1952-12-19
74188,Kersti,Cronau,Engineer,d004,1952-11-19
74189,Fox,Mawatari,Staff,d009,1952-11-06
74199,Otilia,Speckmann,Engineer,d005,1952-02-21
74202,Aamer,Schneeberger,Engineer,d004,1952-08-29
74231,Indrajit,Quaggetto,Staff,d007,1952-07-01
74233,Zvonko,Spell,Assistant Engineer,d005,1952-06-03
74263,Jackson,Casley,Engineer,d004,1952-11-04
74323,Katsuo,Yetto,Engineer,d004,1952-12-15
74338,Mahmut,Sigstam,Staff,d003,1952-11-05
74339,Subbu,Buescher,Staff,d009,1952-04-04
74342,Jamaludin,Fiutem,Senior Staff,d002,1952-10-26
74352,Vasiliy,Kropatsch,Engineer,d004,1952-06-05
74369,Mansur,Eugenio,Staff,d003,1952-04-03
74417,Emdad,Baez,Engineer,d005,1952-09-08
74420,Horward,Marsiglia,Senior Staff,d002,1952-11-17
74421,Tsutomu,Birjandi,Engineer,d004,1952-04-20
74445,Elrique,Yemenis,Senior Engineer,d004,1952-07-17
74480,Jeanne,Tsukuda,Senior Staff,d001,1952-12-05
74504,Hironobu,Mattern,Senior Staff,d007,1952-08-10
74506,Becky,Picaronny,Staff,d002,1952-03-30
74512,Vivian,Delgrande,Engineer,d005,1952-05-05
74530,TRUE,Delgrange,Senior Staff,d008,1952-09-24
74563,Venkatesan,Barvinok,Engineer,d006,1952-04-28
74571,Atilio,Viele,Engineer,d005,1952-12-22
74573,Torsten,DeMori,Senior Engineer,d005,1952-11-08
74613,Sumant,Hiroyama,Senior Staff,d007,1952-08-28
74618,Sanjiv,Zyda,Engineer,d004,1952-09-02
74624,Yakkov,Foote,Senior Engineer,d005,1952-07-24
74639,Heeju,Cooley,Technique Leader,d006,1952-03-02
74642,Billur,Range,Assistant Engineer,d004,1952-04-26
74656,Mayuri,Radivojevic,Engineer,d004,1952-07-26
74659,Lihong,Malabarba,Engineer,d004,1952-12-06
74672,Vishu,Genther,Senior Engineer,d004,1952-10-13
74689,Chuanyi,Feldhoffer,Assistant Engineer,d004,1952-11-12
74710,Lein,Setiz,Staff,d007,1952-12-02
74715,Neven,Zuberek,Engineer,d004,1952-06-02
74728,Gurbir,Jarecki,Senior Staff,d007,1952-03-08
74753,Weiru,Kalafatis,Senior Staff,d007,1952-03-09
74766,Mats,Nitta,Technique Leader,d004,1952-09-18
74768,Katsuo,Denti,Engineer,d005,1952-08-24
74779,Beshir,Thibadeau,Senior Staff,d001,1952-05-08
74783,Eckart,Schaaf,Engineer,d005,1952-04-08
74854,Toshimi,Shackell,Engineer,d005,1952-11-10
74899,Shietung,Vendrig,Technique Leader,d005,1952-11-29
74912,Frazer,Mellouli,Engineer,d005,1952-12-13
74921,Holgard,Rehfuss,Senior Engineer,d006,1952-04-27
74922,Etsuo,Milicic,Assistant Engineer,d004,1952-03-16
74935,Manohar,Vendrig,Engineer,d005,1952-12-23
74961,Tianruo,Vitiello,Engineer,d005,1952-04-06
74978,Ung,Manders,Senior Staff,d004,1952-05-11
74997,Mariusz,Luff,Senior Staff,d002,1952-03-31
75018,Spyrose,Erdi,Senior Staff,d007,1952-02-18
75032,Huei,Rubsam,Engineer,d005,1952-10-17
75033,Alair,Pluym,Engineer,d004,1952-12-10
75051,Roddy,Mansanne,Senior Staff,d007,1952-03-10
75055,Kyoichi,Passino,Engineer,d004,1952-07-05
75064,Insup,Kalorkoti,Senior Staff,d008,1952-08-31
75073,Gina,Woycyznski,Staff,d002,1952-09-10
75074,Koldo,Gyimothy,Senior Engineer,d005,1952-06-18
75086,Sorina,Passino,Engineer,d004,1952-07-17
75101,Youngkon,Janocha,Engineer,d004,1952-11-02
75108,Arvin,Pettit,Engineer,d005,1952-02-05
75114,Lillian,Ladret,Senior Staff,d007,1952-09-28
75122,Neven,Yamaashi,Senior Engineer,d004,1952-09-25
75133,Tayeb,Spataro,Senior Staff,d007,1952-08-07
75164,Barton,Versino,Engineer,d005,1952-03-23
75186,Filipp,Miyakawa,Senior Staff,d007,1952-08-18
75201,Boguslaw,Basagni,Senior Staff,d007,1952-09-12
75236,Supot,Lorin,Engineer,d005,1952-12-23
75238,Genevieve,Famili,Assistant Engineer,d004,1952-06-03
75241,Kristin,Terwilliger,Senior Engineer,d004,1952-11-19
75250,Debaprosad,Heuter,Staff,d007,1952-02-20
75253,Kwee,Schaar,Engineer,d005,1952-09-30
75276,Hironoby,Leonhardt,Senior Engineer,d006,1952-06-07
75285,Shahid,Ranft,Senior Engineer,d005,1952-07-18
75286,Leni,Unno,Engineer,d004,1952-11-04
75291,Kasidit,Herbst,Senior Staff,d003,1952-06-10
75306,Aluzio,Dayana,Senior Staff,d007,1952-02-21
75310,Eckart,Belinskaya,Staff,d007,1952-06-19
75406,Paraskevi,Luca,Senior Staff,d007,1952-04-25
75416,Chanjung,Pell,Engineer,d004,1952-10-19
75430,Mads,Vickson,Engineer,d004,1952-08-02
75456,Lalit,Edelhoff,Technique Leader,d005,1952-07-28
75476,Jaroslava,Larfeldt,Engineer,d005,1952-06-01
75482,Morris,Henseler,Engineer,d005,1952-07-01
75514,Jaihie,Ozeri,Engineer,d006,1952-10-28
75520,Godehard,Rosen,Senior Staff,d007,1952-02-26
75568,Susanta,Meszaros,Engineer,d004,1952-12-30
75612,Alejandro,Kaltofen,Senior Staff,d009,1952-09-08
75640,Bokyung,Pocchiola,Senior Staff,d007,1952-02-05
75643,Chrisa,Oberman,Assistant Engineer,d004,1952-06-01
75648,Munir,Ramsay,Senior Engineer,d005,1952-11-26
75654,Tuval,Wendorf,Engineer,d005,1952-06-07
75661,Kazunori,Berstel,Senior Staff,d001,1952-08-11
75673,Sanjoy,Sidou,Senior Staff,d003,1952-06-15
75681,Aiman,Picel,Engineer,d005,1952-02-09
75698,Shigehiro,Maquelin,Engineer,d004,1952-10-17
75707,Paraskevi,Peng,Senior Engineer,d005,1952-02-14
75717,Waiman,Schach,Engineer,d005,1952-02-20
75729,Shuji,Greenaway,Engineer,d004,1952-04-03
75733,Tonny,Copas,Senior Engineer,d005,1952-11-30
75753,Mohammed,Sadowsky,Staff,d007,1952-11-20
75758,Shirish,Rettelbach,Technique Leader,d004,1952-11-14
75764,Mara,Thiria,Senior Staff,d008,1952-04-23
75785,Zissis,Irland,Senior Staff,d001,1952-02-25
75787,Masadi,Gammage,Staff,d003,1952-10-21
75818,Rafail,Cannard,Staff,d008,1952-09-25
75820,Arie,Macedo,Senior Staff,d007,1952-06-17
75822,Unal,Dayang,Senior Staff,d007,1952-05-06
75827,Tianruo,Tsunoo,Senior Staff,d001,1952-04-30
75850,Boalin,Olano,Engineer,d004,1952-02-08
75860,Shuichi,Krohm,Technique Leader,d004,1952-10-23
75868,Marko,Sadowski,Senior Staff,d001,1952-06-13
75900,Uri,Deverell,Senior Staff,d008,1952-02-20
75920,Shahar,Reeker,Senior Engineer,d005,1952-02-28
75927,Mooi,Debuse,Technique Leader,d004,1952-10-01
75930,Subhrajyoti,Barbanera,Engineer,d004,1952-04-02
75940,Shigeo,Christ,Engineer,d005,1952-11-21
75944,Deborah,Rohrbach,Engineer,d005,1952-07-16
75951,Abdelwaheb,Hiroyama,Engineer,d005,1952-02-28
75965,Geraldo,Babu,Senior Staff,d008,1952-06-02
75976,Berhard,Falck,Engineer,d005,1952-12-18
75989,Conal,Sgarro,Staff,d005,1952-07-04
75996,Eberhardt,Langford,Engineer,d006,1952-12-08
76003,Serif,Schach,Engineer,d005,1952-05-15
76012,Barton,Hofting,Engineer,d004,1952-07-10
76019,Heping,Bade,Senior Staff,d001,1952-11-04
76021,Khaled,Binding,Engineer,d005,1952-09-24
76022,Xuejia,Hanabata,Assistant Engineer,d004,1952-06-15
76047,Hatem,Anido,Senior Engineer,d005,1952-09-23
76050,Perry,Pramanik,Engineer,d004,1952-10-01
76064,Vesna,Panwar,Staff,d002,1952-02-15
76066,Hausi,Besselaar,Assistant Engineer,d005,1952-11-08
76078,Hausi,Poehlman,Senior Staff,d007,1952-03-28
76083,Uzi,Kusalik,Engineer,d005,1952-10-13
76091,Mamdouh,Rosenbaum,Senior Staff,d009,1952-02-07
76110,Cheong,Karner,Staff,d003,1952-09-25
76112,Candido,Majewski,Staff,d002,1952-03-31
76136,Sakthirel,Rando,Staff,d002,1952-10-05
76137,Utz,Llado,Senior Staff,d008,1952-05-24
76158,Florian,Lubachevsky,Engineer,d005,1952-04-14
76159,Almudena,Molenaar,Engineer,d004,1952-02-27
76212,Naftali,Thorensen,Staff,d008,1952-06-08
76217,Ranan,Hiroyama,Staff,d007,1952-04-09
76220,Jacopo,Munos,Engineer,d004,1952-07-05
76232,Georg,Hedayat,Staff,d007,1952-04-23
76247,Mads,Azuma,Senior Staff,d007,1952-09-14
76293,Nagui,Reinhart,Engineer,d005,1952-11-20
76305,Boriana,Henseler,Senior Staff,d008,1952-11-02
76311,Herb,Schmezko,Staff,d001,1952-10-03
76320,Mang,Merks,Technique Leader,d006,1952-11-01
76322,Sanjoy,Pepe,Senior Staff,d001,1952-10-08
76346,Zhanqiu,Molenaar,Staff,d007,1952-03-27
76375,Yunming,Luders,Engineer,d005,1952-07-28
76385,Jaewon,Schlumberger,Senior Engineer,d004,1952-04-22
76429,Honesty,Kleiser,Staff,d007,1952-04-13
76450,Sanjay,Rahimi,Engineer,d005,1952-12-10
76475,Theirry,Aamodt,Engineer,d005,1952-10-09
76478,Denis,Lichtner,Engineer,d005,1952-08-18
76481,Suvo,Ruemmler,Engineer,d005,1952-09-08
76494,Sverrir,Pulkowski,Engineer,d004,1952-08-27
76495,Zhonghua,Cangellaris,Senior Staff,d007,1952-09-30
76496,Remmert,Basart,Senior Staff,d004,1952-09-25
76510,Barry,Fiebach,Senior Staff,d007,1952-09-26
76531,Bodo,Hebden,Senior Staff,d007,1952-12-12
76549,Goetz,Narwekar,Senior Staff,d001,1952-10-20
76555,Jayesh,Passafiume,Senior Engineer,d004,1952-12-20
76562,Renee,Basart,Senior Staff,d007,1952-08-18
76577,Horward,Zyda,Senior Staff,d007,1952-06-11
76580,Berto,Sinicrope,Engineer,d004,1952-07-12
76591,Cordelia,Mikschl,Senior Staff,d002,1952-06-03
76607,Temple,Geffroy,Engineer,d006,1952-11-08
76648,Rajmohan,Camarinopoulos,Assistant Engineer,d004,1952-10-11
76667,Luisa,Puppe,Senior Staff,d007,1952-11-15
76673,Cathie,Rando,Engineer,d004,1952-05-25
76679,Moie,Rullman,Engineer,d004,1952-03-19
76682,Pohua,Ozeri,Senior Engineer,d005,1952-03-02
76687,Heeju,Siochi,Senior Engineer,d004,1952-03-19
76703,Hairong,Huttel,Engineer,d005,1952-11-08
76705,Alair,Suermann,Senior Staff,d009,1952-03-16
76725,Dipankar,Swen,Engineer,d005,1952-02-15
76735,Hidekazu,Bashian,Senior Staff,d007,1952-05-24
76745,Mana,Ranai,Staff,d009,1952-07-18
76751,Koldo,Guardalben,Engineer,d005,1952-10-02
76764,Shuzo,Gien,Engineer,d004,1952-09-07
76767,Weiru,Chachaty,Staff,d008,1952-02-19
76774,Zsolt,Montemayor,Staff,d007,1952-03-28
76775,Arfst,Pietrzykowski,Engineer,d004,1952-06-24
76802,Serap,Versino,Engineer,d004,1952-03-26
76820,Mohan,Prochazka,Engineer,d004,1952-08-14
76831,Anoosh,Schlegelmilch,Assistant Engineer,d004,1952-04-13
76841,Baziley,Peris,Staff,d003,1952-02-22
76882,Kristen,Welham,Engineer,d004,1952-12-27
76884,Yechezkel,Sherertz,Engineer,d005,1952-05-21
76889,Danae,Mahnke,Senior Staff,d001,1952-05-08
76909,Samphel,Luft,Engineer,d006,1952-12-06
76932,Radoslaw,Perfilyeva,Senior Staff,d007,1952-07-12
76937,Shuji,Matzat,Senior Staff,d001,1952-11-11
76950,Mechthild,Legleitner,Staff,d007,1952-12-05
76957,Saniya,Rosca,Technique Leader,d005,1952-02-22
76964,Guangming,Lovengreen,Senior Staff,d009,1952-09-06
76970,Christfried,Langford,Technique Leader,d006,1952-11-10
76977,Sigeru,Stroustrup,Senior Staff,d001,1952-12-26
77002,Aran,Ratnakar,Senior Engineer,d004,1952-10-27
77014,Barry,Redmiles,Technique Leader,d004,1952-05-19
77024,Fox,Ebeling,Engineer,d004,1952-10-22
77036,Miquel,Marrakchi,Senior Staff,d003,1952-07-25
77040,Yongdong,Gecseg,Technique Leader,d004,1952-07-24
77044,Gil,Zucker,Senior Staff,d009,1952-10-12
77046,Geoffry,Slutz,Staff,d002,1952-07-22
77059,Garnik,Slobodova,Senior Staff,d002,1952-07-10
77064,Hauke,Simmen,Senior Staff,d008,1952-04-26
77075,Steen,Picaronny,Senior Staff,d007,1952-02-09
77081,Rance,Fritzsche,Senior Staff,d007,1952-12-14
77092,Atilio,Baca,Staff,d003,1952-11-29
77106,Shuho,Perri,Engineer,d005,1952-03-08
77116,Elrique,Staylopatis,Engineer,d005,1952-07-09
77133,Shahab,Genin,Senior Staff,d007,1952-05-03
77143,Oddvar,Kaiser,Engineer,d004,1952-06-21
77177,Nechama,Suwa,Engineer,d005,1952-08-04
77196,Lillian,Benner,Senior Staff,d008,1952-04-29
77201,Kiyotoshi,Butner,Staff,d007,1952-05-12
77218,Zhilian,Hettesheimer,Engineer,d004,1952-05-22
77225,Tomokazu,Cannard,Engineer,d006,1952-05-30
77230,Hyuncheol,Varman,Staff,d007,1952-07-25
77234,Kazuhisa,Krohm,Engineer,d005,1952-03-02
77238,Eberhardt,Beausoleil,Senior Engineer,d005,1952-10-10
77263,Arto,Keustermans,Senior Staff,d001,1952-03-05
77279,Xuejun,Burnard,Staff,d007,1952-04-17
77289,Xiaobin,Katiyar,Senior Staff,d001,1952-05-13
77292,Berhard,Roccetti,Assistant Engineer,d004,1952-06-20
77299,Kazuhisa,Beausoleil,Staff,d009,1952-11-22
77304,Bluma,Guardalben,Staff,d009,1952-03-23
77314,Augustine,Fabrizio,Engineer,d004,1952-11-07
77325,Feiyu,Brickell,Senior Staff,d007,1952-08-21
77331,Jolita,Restivo,Senior Staff,d008,1952-04-20
77349,Goncalo,Butterworth,Senior Staff,d009,1952-07-11
77372,Waiman,Sgarro,Engineer,d004,1952-10-20
77391,JiYoung,Polupanov,Technique Leader,d005,1952-07-31
77394,Mary,Wielonsky,Engineer,d005,1952-11-24
77414,Kwun,Lienhardt,Engineer,d005,1952-03-15
77420,Jiakeng,Masand,Engineer,d006,1952-05-17
77458,Subhankar,Cannard,Engineer,d005,1952-12-05
77466,Takahiro,Matzel,Engineer,d004,1952-04-15
77469,Constantino,Lanzelotte,Senior Staff,d009,1952-05-22
77481,Kitty,Picel,Senior Staff,d007,1952-10-08
77500,Takahira,Iwayama,Senior Staff,d001,1952-08-12
77518,Manohar,Gruenwald,Staff,d002,1952-07-30
77527,Adit,McFarlan,Senior Staff,d003,1952-05-09
77535,Yonghong,Codenie,Senior Staff,d003,1952-03-26
77554,Troy,Iisaka,Engineer,d004,1952-05-06
77583,Goa,Rosay,Senior Staff,d009,1952-10-27
77605,Sastry,Brendel,Senior Staff,d007,1952-04-12
77610,Sanjeeva,Kadhim,Senior Engineer,d004,1952-10-28
77615,Jianwen,Krupka,Staff,d001,1952-08-18
77618,Vasilii,Ranze,Staff,d009,1952-03-22
77623,Takushi,Anger,Engineer,d004,1952-08-30
77631,Szabolcs,Kitsuregawa,Assistant Engineer,d004,1952-04-12
77641,Berni,Nishimukai,Senior Staff,d007,1952-11-28
77652,Arumugam,Schicker,Senior Staff,d003,1952-06-28
77663,Taiji,Lamma,Engineer,d004,1952-12-20
77675,Mohua,Domenig,Senior Staff,d009,1952-12-09
77690,Nahum,Thorensen,Senior Staff,d002,1952-06-12
77710,Gaurav,Weedon,Staff,d002,1952-06-11
77732,Fumino,Zizka,Senior Staff,d002,1952-09-13
77764,Fumiya,McFarlin,Staff,d009,1952-10-22
77767,Yuichiro,Mansanne,Engineer,d006,1952-05-25
77781,Piyush,Ritzmann,Assistant Engineer,d005,1952-02-22
77786,Munehiro,Vieth,Staff,d007,1952-07-13
77787,Lucian,Bellone,Senior Engineer,d005,1952-11-11
77803,Armond,Schwartzburd,Senior Staff,d002,1952-09-01
77826,Achilleas,Rabehasaina,Staff,d002,1952-04-16
77850,Arno,Baaz,Senior Engineer,d004,1952-08-06
77856,Basil,Crelier,Staff,d003,1952-02-23
77859,Garnet,Pelc,Senior Staff,d008,1952-09-10
77915,Shimshon,Schnelling,Senior Staff,d007,1952-11-18
77942,Nalini,Georgakopoulos,Senior Staff,d007,1952-06-05
77956,Mona,Binding,Senior Staff,d008,1952-07-08
77959,Shahab,Onuegbe,Technique Leader,d004,1952-08-01
77973,Zine,Zuberek,Staff,d007,1952-02-23
77974,Fei,Shihab,Engineer,d005,1952-05-06
77988,Tze,Gyimothy,Assistant Engineer,d005,1952-06-25
78009,Zhiwei,Falster,Engineer,d005,1952-04-11
78039,Genki,Heemskerk,Senior Staff,d001,1952-04-28
78041,Tadanori,Zyda,Staff,d007,1952-07-17
78073,Udi,Lupu,Engineer,d004,1952-04-16
